timestamp,src,dst,proto,sport,dport,length,ip_len
1780078282.994707,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.994711,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.994711,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.994712,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.994713,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.994713,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.994955,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.995012,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.995034,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.99505,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.995064,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.995077,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.995766,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.995768,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078282.995898,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078282.995947,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078283.005963,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078283.005967,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078283.005969,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078283.005969,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078283.005972,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078283.005973,172.21.0.20,172.21.0.10,UDP,54987,5004,1455,1441
1780078283.006174,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078283.006211,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078283.006224,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
1780078283.006234,172.21.0.10,172.21.0.20,UDP,5004,54987,55,41
