timestamp,src,dst,proto,sport,dport,length,ip_len
1780078300.075453,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075456,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075456,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075457,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075457,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075458,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075459,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.075459,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375614,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375618,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375618,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375619,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375619,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.37562,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375621,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.375622,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.676044,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.676049,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.676049,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.67605,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.67605,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.676051,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.676052,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.676053,172.21.0.20,172.21.0.10,UDP,37785,5004,1455,1441
1780078300.83298,172.21.0.20,172.21.0.10,TCP,56604,5003,74,60
1780078300.833136,172.21.0.10,172.21.0.20,TCP,5003,56604,74,60
1780078300.843176,172.21.0.20,172.21.0.10,TCP,56604,5003,66,52
1780078300.843245,172.21.0.20,172.21.0.10,TCP,56604,5003,187,173
1780078300.843261,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.844999,172.21.0.10,172.21.0.20,TCP,5003,56604,72,58
1780078300.855173,172.21.0.20,172.21.0.10,TCP,56604,5003,66,52
1780078300.855176,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.855177,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.855177,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.855178,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.855179,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.855244,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.855256,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.855261,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.855264,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.855281,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.865316,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.865324,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.865325,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.865325,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.865326,172.21.0.20,172.21.0.10,TCP,56604,5003,4410,4396
1780078300.865327,172.21.0.20,172.21.0.10,TCP,56604,5003,4410,4396
1780078300.865328,172.21.0.20,172.21.0.10,TCP,56604,5003,4410,4396
1780078300.865329,172.21.0.20,172.21.0.10,TCP,56604,5003,4410,4396
1780078300.865396,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.86541,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.865435,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.875545,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.875548,172.21.0.20,172.21.0.10,TCP,56604,5003,5858,5844
1780078300.875551,172.21.0.20,172.21.0.10,TCP,56604,5003,10202,10188
1780078300.875553,172.21.0.20,172.21.0.10,TCP,56604,5003,10202,10188
1780078300.875554,172.21.0.20,172.21.0.10,TCP,56604,5003,5858,5844
1780078300.875556,172.21.0.20,172.21.0.10,TCP,56604,5003,10202,10188
1780078300.875559,172.21.0.20,172.21.0.10,TCP,56604,5003,10202,10188
1780078300.87556,172.21.0.20,172.21.0.10,TCP,56604,5003,2962,2948
1780078300.875621,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.875661,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.885753,172.21.0.20,172.21.0.10,TCP,56604,5003,5858,5844
1780078300.885757,172.21.0.20,172.21.0.10,TCP,56604,5003,14546,14532
1780078300.88576,172.21.0.20,172.21.0.10,TCP,56604,5003,21786,21772
1780078300.885762,172.21.0.20,172.21.0.10,TCP,56604,5003,21786,21772
1780078300.885764,172.21.0.20,172.21.0.10,TCP,56604,5003,21786,21772
1780078300.885767,172.21.0.20,172.21.0.10,TCP,56604,5003,11658,11644
1780078300.88583,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.885846,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.88585,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.885877,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.895886,172.21.0.20,172.21.0.10,TCP,56604,5003,11650,11636
1780078300.89589,172.21.0.20,172.21.0.10,TCP,56604,5003,1506,1492
1780078300.895893,172.21.0.20,172.21.0.10,TCP,56604,5003,26130,26116
1780078300.895924,172.21.0.20,172.21.0.10,TCP,56604,5003,20338,20324
1780078300.895929,172.21.0.20,172.21.0.10,TCP,56604,5003,29026,29012
1780078300.895932,172.21.0.20,172.21.0.10,TCP,56604,5003,17442,17428
1780078300.895938,172.21.0.20,172.21.0.10,TCP,56604,5003,40610,40596
1780078300.895939,172.21.0.20,172.21.0.10,TCP,56604,5003,5858,5844
1780078300.89603,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.896047,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.896052,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.896055,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.89606,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.896103,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.906077,172.21.0.20,172.21.0.10,TCP,56604,5003,34818,34804
1780078300.90608,172.21.0.20,172.21.0.10,TCP,56604,5003,13098,13084
1780078300.906084,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.906088,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.906092,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.906095,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.906141,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.906152,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.906156,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.906159,172.21.0.20,172.21.0.10,TCP,56604,5003,30378,30364
1780078300.906162,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.906163,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.906187,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.916201,172.21.0.20,172.21.0.10,TCP,56604,5003,17538,17524
1780078300.916212,172.21.0.20,172.21.0.10,TCP,56604,5003,47850,47836
1780078300.91622,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.916231,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.916242,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.91625,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.916258,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.916263,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.916264,172.21.0.20,172.21.0.10,TCP,56604,5003,13098,13084
1780078300.916308,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.916316,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.916319,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.916322,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.916336,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926337,172.21.0.20,172.21.0.10,TCP,56604,5003,52194,52180
1780078300.926346,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.92635,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926355,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.92636,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926365,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926369,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926376,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.92638,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926385,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926389,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.926392,172.21.0.20,172.21.0.10,TCP,56604,5003,44242,44228
1780078300.926443,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926451,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926454,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926457,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.92646,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926463,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926465,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.926468,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.92648,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.936512,172.21.0.20,172.21.0.10,TCP,56604,5003,21050,21036
1780078300.936518,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936525,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.93653,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936534,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936539,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936543,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936548,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936552,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936558,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936563,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936568,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936573,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936578,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936583,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936588,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936593,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936597,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936603,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936608,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936613,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936619,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936623,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936628,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936633,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.936635,172.21.0.20,172.21.0.10,TCP,56604,5003,8754,8740
1780078300.936696,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.936705,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.936708,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.936719,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.946721,172.21.0.20,172.21.0.10,TCP,56604,5003,56538,56524
1780078300.946729,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946734,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946748,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946753,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946757,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946762,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946766,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946771,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946775,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.94678,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946784,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946789,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946793,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946797,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946801,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946804,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946809,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946814,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946818,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946822,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.946824,172.21.0.20,172.21.0.10,TCP,56604,5003,29714,29700
1780078300.946828,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.94683,172.21.0.20,172.21.0.10,TCP,56604,5003,18098,18084
1780078300.946889,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.946901,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.946904,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.946906,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.946919,172.21.0.10,172.21.0.20,TCP,5003,56604,66,52
1780078300.956925,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956931,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956936,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956941,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956945,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.95695,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956954,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956959,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956963,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956969,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956973,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956977,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956981,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956985,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956989,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956993,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.956997,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957005,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.95701,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957015,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957019,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957023,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957028,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957032,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957036,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957041,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
1780078300.957046,172.21.0.20,172.21.0.10,TCP,56604,5003,65226,65212
