timestamp,src,dst,proto,sport,dport,length,ip_len
1780091824.025495,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.0255,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.025503,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.025504,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.025504,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.025505,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.025506,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.32633,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.326339,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.32634,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.32634,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.326341,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.326342,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.627125,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.62713,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.627133,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.627133,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.627222,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927664,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927667,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927667,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927668,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927668,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927668,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927669,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091824.927669,172.21.0.20,172.21.0.10,UDP,41792,5004,1455,1441
1780091825.059783,172.21.0.20,172.21.0.10,UDP,34802,5004,175,161
1780091825.060366,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.111927,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.111931,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.111934,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.112018,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.112019,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.11202,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.11202,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.112021,172.21.0.20,172.21.0.10,UDP,34802,5004,1455,1441
1780091825.112179,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.11226,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.112329,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.112374,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.112473,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.112515,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
1780091825.112568,172.21.0.10,172.21.0.20,UDP,5004,34802,55,41
