timestamp,src,dst,proto,sport,dport,length,ip_len
1780089869.119341,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119348,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119349,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119446,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119447,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119448,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119448,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.119449,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420427,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420434,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420435,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420436,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420437,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420438,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.420439,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.720584,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.720588,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.720659,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.720659,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.72066,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.72066,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.720662,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089869.720676,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021696,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021711,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021713,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021722,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021724,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021726,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.021727,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.185359,172.21.0.20,172.21.0.10,TCP,52982,5003,74,60
1780089870.185495,172.21.0.10,172.21.0.20,TCP,5003,52982,74,60
1780089870.285616,172.21.0.20,172.21.0.10,TCP,52982,5003,66,52
1780089870.288248,172.21.0.20,172.21.0.10,TCP,52982,5003,187,173
1780089870.288283,172.21.0.10,172.21.0.20,TCP,5003,52982,66,52
1780089870.30593,172.21.0.10,172.21.0.20,TCP,5003,52982,72,58
1780089870.322022,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.322027,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.322028,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.322028,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.322029,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.322029,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.32203,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.322031,172.21.0.20,172.21.0.10,UDP,37986,5004,1455,1441
1780089870.40605,172.21.0.20,172.21.0.10,TCP,52982,5003,66,52
1780089870.408064,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.408162,172.21.0.10,172.21.0.20,TCP,5003,52982,66,52
1780089870.408259,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.40826,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.40828,172.21.0.10,172.21.0.20,TCP,5003,52982,78,64
1780089870.408343,172.21.0.10,172.21.0.20,TCP,5003,52982,78,64
1780089870.50824,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.508304,172.21.0.10,172.21.0.20,TCP,5003,52982,78,64
1780089870.508368,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.508369,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.508419,172.21.0.10,172.21.0.20,TCP,5003,52982,86,72
1780089870.608405,172.21.0.20,172.21.0.10,TCP,52982,5003,2962,2948
1780089870.608495,172.21.0.10,172.21.0.20,TCP,5003,52982,78,64
